direccion,localidad,latitud,longitud
"BRAGADO (ENTRE LAS FLORES Y MARTIN FIERRO), Avellaneda, Buenos Aires",Avellaneda,-34.7007872849145,-58.3148501491805
"3182 O HIGGINS 1200, San Miguel, Buenos Aires",San Miguel,-34.5705981139136,-58.6846392303866
"3138 RIO NEGRO 928, San Miguel, Buenos Aires",San Miguel,-34.5546723218133,-58.674909920023616
"DR JOSE INGENIEROS 500, Avellaneda, Buenos Aires",Avellaneda,-34.6754940992375,-58.3574002213298
"4155 ARGUERO 800, San Miguel, Buenos Aires",San Miguel,-34.545884137988836,-58.72474764397569
"3051 MOINE 700, San Miguel, Buenos Aires",San Miguel,-34.5568845242656,-58.6779656977185
"CNL JOSE RONDEAU 1900, Avellaneda, Buenos Aires",Avellaneda,-34.7177109607013,-58.3396065177337
"ARMENIA 5, Avellaneda, Buenos Aires",Avellaneda,-34.69065840630467,-58.33506284370027
"4156 SERRANO 431, San Miguel, Buenos Aires",San Miguel,-34.547293356874306,-58.697212142754054
"PATAGONES 600, Avellaneda, Buenos Aires",Avellaneda,-34.6913773180228,-58.3206878042692
"PUEBLO DE YAPEYU 1000, Avellaneda, Buenos Aires",Avellaneda,-34.7157236926286,-58.322837087782
"REPUBLICA DEL LIBANO 855, Avellaneda, Buenos Aires",Avellaneda,-34.67886304827655,-58.36503853644491
"DOMINGO MARTINTO 100, Avellaneda, Buenos Aires",Avellaneda,-34.7072640505394,-58.3140168214461
"4133 CHARLONE 900, San Miguel, Buenos Aires",San Miguel,-34.5406133150167,-58.7064827471422
"CHASCOMUS 100, Avellaneda, Buenos Aires",Avellaneda,-34.6954575646182,-58.328333166887
"4179 SALERNO, San Miguel, Buenos Aires",San Miguel,-34.5224008567081,-58.7163619573261
"PRUDAN 900, Avellaneda, Buenos Aires",Avellaneda,-34.6895647478538,-58.3509714042763
"CNL BRANDSEN 6163, Avellaneda, Buenos Aires",Avellaneda,-34.70367899647212,-58.320707917910596
"4131 ITALIA 260, San Miguel, Buenos Aires",San Miguel,-34.53684679385743,-58.700462429703414
"4158 MUNOZ 970, San Miguel, Buenos Aires",San Miguel,-34.5452331699909,-58.7021694049594
"4144 SAN LUIS 2500, San Miguel, Buenos Aires",San Miguel,-34.5299459346623,-58.7137652659574
"AV BARTOLOME MITRE 500, Avellaneda, Buenos Aires",Avellaneda,-34.660214064754115,-58.36789189987381
"LIMAY 1185, Avellaneda, Buenos Aires",Avellaneda,-34.67714328172825,-58.372506302308295
"DARDO ROCHA 600, Avellaneda, Buenos Aires",Avellaneda,-34.6645894369641,-58.3482812815283
"SUIPACHA 900, Avellaneda, Buenos Aires",Avellaneda,-34.6947534328762,-58.346776347334
"BV DE LOS ITALIANOS 1200, Avellaneda, Buenos Aires",Avellaneda,-34.7068014925541,-58.3380019679062
"VICENTE LOPEZ 2300, Avellaneda, Buenos Aires",Avellaneda,-34.6708890203713,-58.3461609477326
"AV GENERAL GUEMES 800, Avellaneda, Buenos Aires",Avellaneda,-34.6747001007513,-58.3635068425992
"BATALLA DE SAN CARLOS 44, Avellaneda, Buenos Aires",Avellaneda,-34.70531981207116,-58.317449883526876
"VILLA DE LUJAN 706, Avellaneda, Buenos Aires",Avellaneda,-34.69274165731314,-58.34910524446604
"25 DE MAYO 607, Almirante Brown, Buenos Aires",Almirante Brown,-34.828324995167634,-58.39414207837655
"GRL ARREDONDO 4593, Avellaneda, Buenos Aires",Avellaneda,-34.69886012816158,-58.34185090640395
"MANUEL BELGRANO 794, Avellaneda, Buenos Aires",Avellaneda,-34.665182553714956,-58.36583797364551
"3041 MAYOR IRUSTA 2700, San Miguel, Buenos Aires",San Miguel,-34.5743298361785,-58.6943006970819
"MARTIN FIERRO 900, Avellaneda, Buenos Aires",Avellaneda,-34.6951109199808,-58.3091217204834
"BAHIA BLANCA 12, Avellaneda, Buenos Aires",Avellaneda,-34.70209397980944,-58.319686191403385
"CHASCOMUS, Avellaneda, Buenos Aires",Avellaneda,-34.6997742938682,-58.3332644406561
"BLANDENGUES 3200, Avellaneda, Buenos Aires",Avellaneda,-34.6706384026053,-58.3433504134121
"TTE CNL CAJARAVILLE 6000, Avellaneda, Buenos Aires",Avellaneda,-34.718031383019,-58.3399712330021
"4133 CHARLONE 902, San Miguel, Buenos Aires",San Miguel,-34.54235946954465,-58.70840585420123
"4170 LEANDRO N ALEM 2300, San Miguel, Buenos Aires",San Miguel,-34.5382763650836,-58.7207989360833
"4163 INT JUAN IRIGOIN 2076, San Miguel, Buenos Aires",San Miguel,-34.54184067301697,-58.72651272100738
"3045 MAIPU 100, San Miguel, Buenos Aires",San Miguel,-34.5534594865143,-58.6729675019325
"JUAN CRUZ VARELA 5900, Avellaneda, Buenos Aires",Avellaneda,-34.7058840304201,-58.3278654148738
"VILLA DE LUJAN (ENTRE ALMTE SOLIER Y ALMTE CORDERO), Avellaneda, Buenos Aires",Avellaneda,-34.68968438479155,-58.3455022971924
"LAFAYETTE (ENTRE DORREGO Y NECOCHEA), Avellaneda, Buenos Aires",Avellaneda,-34.6713044479164,-58.355304430344
"ANTOFAGASTA (ENTRE ESTANISLAO DEL CAMPO Y RICARDO GUTIERREZ), Avellaneda, Buenos Aires",Avellaneda,-34.667492512161346,-58.3466855203503
"MATANZA 1800, Avellaneda, Buenos Aires",Avellaneda,-34.7117598818507,-58.3453792202433
"4157 GUEMES 400, San Miguel, Buenos Aires",San Miguel,-34.5295556302755,-58.7094088407744
"ING LUIS HUERGO 1000, Avellaneda, Buenos Aires",Avellaneda,-34.6552200244291,-58.3511982934965
"INT BEGUIRISTAIN 100, Avellaneda, Buenos Aires",Avellaneda,-34.6693129832929,-58.3529983673272
"CNL BRANDSEN 5900, Avellaneda, Buenos Aires",Avellaneda,-34.7009241442951,-58.3241180318162
"4111 CORNELIO SAAVEDRA 1175, San Miguel, Buenos Aires",San Miguel,-34.549095393864306,-58.701244930132205
"ONZARI 100, Avellaneda, Buenos Aires",Avellaneda,-34.7040640040718,-58.3174625156972
"RN 205 - AV HIPOLITO YRIGOYEN 1301, Avellaneda, Buenos Aires",Avellaneda,-34.6730007987051,-58.381663816832
"ONZARI (ENTRE CNL CASACUBERTA Y MALVINAS ARGENTINAS), Avellaneda, Buenos Aires",Avellaneda,-34.71660297538895,-58.33206446264275
"SALTO 38, Avellaneda, Buenos Aires",Avellaneda,-34.6860175476435,-58.33977910886856
"4184 ZUVIRIA 2000, San Miguel, Buenos Aires",San Miguel,-34.5443202733764,-58.7212511190924
"ASCASUBI 800, Avellaneda, Buenos Aires",Avellaneda,-34.7101217758485,-58.3257551745912
"FLORENTINO AMEGHINO 500, Avellaneda, Buenos Aires",Avellaneda,-34.6588298802653,-58.3649751720349
"4125 SGT CABRAL 900, San Miguel, Buenos Aires",San Miguel,-34.5430741053787,-58.7030896004891
"4260 GENARO BERON DE ASTRADA, San Miguel, Buenos Aires",San Miguel,-34.554962932403086,-58.76465192753136
"3216 GUSTAVO FLAUBERT 1200, San Miguel, Buenos Aires",San Miguel,-34.5792733366871,-58.698053959905
"HELGUERA 5729, Avellaneda, Buenos Aires",Avellaneda,-34.71205125400673,-58.335605648843384
"CNL JOSE RONDEAU 1200, Avellaneda, Buenos Aires",Avellaneda,-34.7114734893875,-58.3323093586506
"4131 ITALIA 40, San Miguel, Buenos Aires",San Miguel,-34.535348379794755,-58.698912718389366
"PJE PARODI 129, Avellaneda, Buenos Aires",Avellaneda,-34.67626267613037,-58.34601402571957
"CASTELLI 100, Avellaneda, Buenos Aires",Avellaneda,-34.66463027176843,-58.3584535609593
"CNL MENDEZ 300, Avellaneda, Buenos Aires",Avellaneda,-34.7003133569735,-58.3269324009344
"4157 GUEMES 2700, San Miguel, Buenos Aires",San Miguel,-34.5441755725204,-58.7246520293281
"VICENTE LOPEZ 1000, Avellaneda, Buenos Aires",Avellaneda,-34.6592596622484,-58.3560388241834
"MAIPU 85, Avellaneda, Buenos Aires",Avellaneda,-34.65888511572556,-58.37004739478707
"4150 SAN LORENZO 1500, San Miguel, Buenos Aires",San Miguel,-34.54140655455113,-58.701190552430056
"4262 LUIS GERONIMO SALGUERO, San Miguel, Buenos Aires",San Miguel,-34.5821985964214,-58.728127252355655
"BAHIA BLANCA 259, Avellaneda, Buenos Aires",Avellaneda,-34.69977286037664,-58.316977922137106
"JOSE H OYUELA 700, Avellaneda, Buenos Aires",Avellaneda,-34.6969575018241,-58.3398466548826
"AV CRISOLOGO LARRALDE 4410, Avellaneda, Buenos Aires",Avellaneda,-34.69903956450813,-58.34375796920548
"SUPISICHE 400, Avellaneda, Buenos Aires",Avellaneda,-34.6817443458538,-58.3498499624953
"VICTOR HUGO 1300, Avellaneda, Buenos Aires",Avellaneda,-34.7171710153686,-58.3271521150676
"4138 DORREGO 2000, San Miguel, Buenos Aires",San Miguel,-34.530814206657,-58.7076968762547
"CMTE CRAIG 57, Avellaneda, Buenos Aires",Avellaneda,-34.67793460747816,-58.34588333423463
"3043 ESTEVES, San Miguel, Buenos Aires",San Miguel,-34.5794201670058,-58.700085448125996
"3025 MOISES LEBENSOHN 500, San Miguel, Buenos Aires",San Miguel,-34.568673188039426,-58.67730924924603
"4167 LAS MALVINAS 387, San Miguel, Buenos Aires",San Miguel,-34.52729445698558,-58.714448612030885
"3232 HERMINIA BRUMANA 900, San Miguel, Buenos Aires",San Miguel,-34.5800570099083,-58.7069071873664
"ALMTE SOLIER 6289, Avellaneda, Buenos Aires",Avellaneda,-34.707818673727914,-58.32204809051356
"PIERRES (ENTRE CNL BRANDSEN Y AV BARTOLOME MITRE), Avellaneda, Buenos Aires",Avellaneda,-34.6934083969303,-58.33273192156925
"3065 LOS CALCHAQUIES 1300, San Miguel, Buenos Aires",San Miguel,-34.55824280310919,-58.68597976367102
"GRL PIRAN 1340, Avellaneda, Buenos Aires",Avellaneda,-34.68976109603141,-58.308522852729205
"MANUEL CORVALAN 400, Avellaneda, Buenos Aires",Avellaneda,-34.7027099699824,-58.3261773689849
"CANGALLO 1600, Avellaneda, Buenos Aires",Avellaneda,-34.6918128812472,-58.3686696413505
"CHASCOMUS 1600, Avellaneda, Buenos Aires",Avellaneda,-34.7071133524433,-58.3417064640454
"GRL OHIGGINS 800, Avellaneda, Buenos Aires",Avellaneda,-34.6817097716081,-58.3559605911984
"GRL ARREDONDO 1367, Avellaneda, Buenos Aires",Avellaneda,-34.678994975795575,-58.365748002633865
"MANUEL RAPOSO 5900, Avellaneda, Buenos Aires",Avellaneda,-34.7180527893181,-58.3415426174533
"3138 RIO NEGRO 642, San Miguel, Buenos Aires",San Miguel,-34.55155916457849,-58.67925654991639
"4149 ESPANA 2581, San Miguel, Buenos Aires",San Miguel,-34.55006725908335,-58.72547278743163
"4103 JUAN B ALBERDI 1230, San Miguel, Buenos Aires",San Miguel,-34.55211123043418,-58.70044555652289
"EL SALVADOR 100, Avellaneda, Buenos Aires",Avellaneda,-34.689915903522426,-58.33808746048696
"BERUTTI 205, Avellaneda, Buenos Aires",Avellaneda,-34.662605186107335,-58.36810729032643
"EMILIO ZOLA 6500, Avellaneda, Buenos Aires",Avellaneda,-34.7029659481004,-58.310024940333
"DIAZ VELEZ 603, Avellaneda, Buenos Aires",Avellaneda,-34.66726544977356,-58.37148841459984
"4162 MTRO ANGEL D ELIA, San Miguel, Buenos Aires",San Miguel,-34.5510674088175,-58.6963610071934
"RAQUEL ESPANOL 156, Avellaneda, Buenos Aires",Avellaneda,-34.70429872271361,-58.313574333196314
"IBERA 600, Avellaneda, Buenos Aires",Avellaneda,-34.668637028007,-58.3450155335211
"CMTE FELIPE ALDECOA 900, Avellaneda, Buenos Aires",Avellaneda,-34.6636196267541,-58.3821488673548
"CESAR MALNATTI 3000, San Miguel, Buenos Aires",San Miguel,-34.52578819055512,-58.720790648598225
"4121 LAS HERAS 500, San Miguel, Buenos Aires",San Miguel,-34.5408841118399,-58.6984614577945
"4163 INT JUAN IRIGOIN, San Miguel, Buenos Aires",San Miguel,-34.5272156340504,-58.71081239019041
"RECONQUISTA 1480, Avellaneda, Buenos Aires",Avellaneda,-34.6848219225569,-58.367171942126994
"CNL BRANDSEN 4800, Avellaneda, Buenos Aires",Avellaneda,-34.6939669164625,-58.3333699890544
"ALBERTO LARTIGAU (ENTRE MARIANO MORENO Y AV BARTOLOME MITRE), Avellaneda, Buenos Aires",Avellaneda,-34.7044329406761,-58.31582391518605
"SAN PEDRO 140, Avellaneda, Buenos Aires",Avellaneda,-34.68312115217559,-58.34052687969513
"GRL PICO 400, Avellaneda, Buenos Aires",Avellaneda,-34.6958479529206,-58.3338342404175
"AV CRISOLOGO LARRALDE 6000, Avellaneda, Buenos Aires",Avellaneda,-34.7104251502587,-58.3294708492344
"VILLA DE LUJAN 400, Avellaneda, Buenos Aires",Avellaneda,-34.6883969212792,-58.3439457535518
"4224 MTRO SARMIENTO 1100, San Miguel, Buenos Aires",San Miguel,-34.5639487715992,-58.7240599430205
"COTAGAITA 1300, Avellaneda, Buenos Aires",Avellaneda,-34.7097716609663,-58.3363818031262
"LINCOLN 435, Avellaneda, Buenos Aires",Avellaneda,-34.70266852027383,-58.3096503687619
"3138 RIO NEGRO 1700, San Miguel, Buenos Aires",San Miguel,-34.5626536761895,-58.664400474374
"ALBERTO LARTIGAU 14, Avellaneda, Buenos Aires",Avellaneda,-34.70480467384972,-58.31626015889057
"GIBRALTAR 1500, Avellaneda, Buenos Aires",Avellaneda,-34.6956505435495,-58.3564596619078
"4155 ARGUERO 1400, San Miguel, Buenos Aires",San Miguel,-34.545688901916314,-58.72453958949825
"HELGUERA 6100, Avellaneda, Buenos Aires",Avellaneda,-34.714682541023,-58.3323431585659
"4185 LAS DELICIAS 3300, San Miguel, Buenos Aires",San Miguel,-34.564091375509875,-58.763738357984145
"4167 LAS MALVINAS, San Miguel, Buenos Aires",San Miguel,-34.556700892263905,-58.745371084069745
"PASTEUR 900, Avellaneda, Buenos Aires",Avellaneda,-34.6940962350798,-58.3475667751126
"4155 ARGUERO 600, San Miguel, Buenos Aires",San Miguel,-34.54594921667968,-58.72481699546817
"4163 INT JUAN IRIGOIN 712, San Miguel, Buenos Aires",San Miguel,-34.532213223788474,-58.71620712074952
"4150 SAN LORENZO 1100, San Miguel, Buenos Aires",San Miguel,-34.54117241538401,-58.70151371988425
"RAMALLO 100, Avellaneda, Buenos Aires",Avellaneda,-34.68619553656,-58.3378247884293
"JUAN BAUTISTA ALBERDI 51, Avellaneda, Buenos Aires",Avellaneda,-34.668295784670015,-58.3562043714331
"RICARDO GUTIERREZ 1300, Avellaneda, Buenos Aires",Avellaneda,-34.6609748087233,-58.3529125235909
"GRL MANSILLA 5700, Avellaneda, Buenos Aires",Avellaneda,-34.712270815072024,-58.32307565586341
"BRAGADO 5900, Avellaneda, Buenos Aires",Avellaneda,-34.6977036088939,-58.3186720899051
"3061 MARIANO MORENO 1400, San Miguel, Buenos Aires",San Miguel,-34.559269023718,-58.6859888542885
"GRL MOLINA (ENTRE GRL VILLEGAS Y ALMTE CORDERO), Avellaneda, Buenos Aires",Avellaneda,-34.68965852163275,-58.3475814796376
"GELLI Y OBES 171, Avellaneda, Buenos Aires",Avellaneda,-34.681134959690006,-58.34026158774345
"DR SANDE 453, Avellaneda, Buenos Aires",Avellaneda,-34.66490084519075,-58.35067205658824
"CMTE SPURR 300, Avellaneda, Buenos Aires",Avellaneda,-34.6740259322315,-58.3536032673692
"DR SANDE 300, Avellaneda, Buenos Aires",Avellaneda,-34.6660768288386,-58.3525863699455
"CNL LYNCH 200, Avellaneda, Buenos Aires",Avellaneda,-34.7096403937037,-58.3154408350697
"IGR TORCUATO DI TELLA (ESQUINA ISLETA), Avellaneda, Buenos Aires",Avellaneda,-34.6667867045058,-58.3967377021323
"RICARDO BALBIN 900, San Miguel, Buenos Aires",San Miguel,-34.5390588334166,-58.7086471859988
"CALLE 13 ITALIA 300, Monte, Buenos Aires",San Miguel del Monte,-35.4437393519936,-58.8051112514398
"PIERRES 23, Avellaneda, Buenos Aires",Avellaneda,-34.6937161525909,-58.33308350977535
"TOMAS NOTHER 2770, Almirante Brown, Buenos Aires",Almirante Brown,-34.789048045295296,-58.371042277959354
"CORDERO 752, Almirante Brown, Buenos Aires",Almirante Brown,-34.802010686999125,-58.39482851917858
"COMOD RIVADAVIA 5872, Avellaneda, Buenos Aires",Avellaneda,-34.70294815048637,-58.32589505804258
"CJAL ACOSTA 400, San Miguel, Buenos Aires",San Miguel,-34.5541214395733,-58.6884284650252
"MITRE 1947, Almirante Brown, Buenos Aires",Almirante Brown,-34.86870463102671,-58.37519783998249
"VICEP ALSINA 1400, Almirante Brown, Buenos Aires",Almirante Brown,-34.87433082707874,-58.3778613097802
"MIGUEL ESOLER 1000, Almirante Brown, Buenos Aires",Almirante Brown,-34.802119530156205,-58.38943855953962
"4194 LIBERTAD 15, San Miguel, Buenos Aires",San Miguel,-34.56096656211515,-58.706322343393374
"SOMELLERA 538, Almirante Brown, Buenos Aires",Almirante Brown,-34.79805264124283,-58.393670954158985
"CEFERINO RAMIREZ 1281, Almirante Brown, Buenos Aires",Almirante Brown,-34.77987666820567,-58.341268818196916
"J KING 900, Almirante Brown, Buenos Aires",Almirante Brown,-34.7912141462595,-58.3725320817961
"ROQUE SAENZ PENA 1294, Almirante Brown, Buenos Aires",Almirante Brown,-34.79724999875841,-58.37241478837854
"3178 ENTRE RIOS 100, San Miguel, Buenos Aires",San Miguel,-34.5577017041626,-58.6991310552143
"3039 SENADOR MORON 1800, San Miguel, Buenos Aires",San Miguel,-34.5649664183014,-58.6839706570779
"25 DE MAYO 1000, Almirante Brown, Buenos Aires",Almirante Brown,-34.7901930558772,-58.3676249945289
"ITUZAINGO 45, Almirante Brown, Buenos Aires",Almirante Brown,-34.824258553651134,-58.39919461701785
"BV DE LOS ITALIANOS 64, Avellaneda, Buenos Aires",Avellaneda,-34.69751479121857,-58.326649604922274
"4200 CONSTITUCION 2500, San Miguel, Buenos Aires",San Miguel,-34.5457408129164,-58.7321391962064
"ANCATRUZ (ESQUINA RUTA PROVINCIAL 11), Punta Indio, Buenos Aires",Punta Indio,-35.2449724274998,-57.2808060615886
"MARCONI 720, Avellaneda, Buenos Aires",Avellaneda,-34.66204277466871,-58.36363424599606
"RN 205 - AV HIPOLITO YRIGOYEN 979, Avellaneda, Buenos Aires",Avellaneda,-34.6685193159005,-58.38009462274208
"COTAGAITA 500, Avellaneda, Buenos Aires",Avellaneda,-34.7027738777057,-58.3282059614972
"AV BARTOLOME MITRE (ENTRE LAS FLORES Y MARTIN FIERRO), Avellaneda, Buenos Aires",Avellaneda,-34.703556510022096,-58.318095073326
"AV BARTOLOME MITRE 3000, Avellaneda, Buenos Aires",Avellaneda,-34.6790471302087,-58.3462255832256
"CMTE JOSE GIRIBONE 500, Avellaneda, Buenos Aires",Avellaneda,-34.6611741149888,-58.3771787451567
"3178 ENTRE RIOS 1300, San Miguel, Buenos Aires",San Miguel,-34.5704033378783,-58.6817773470879
"ARMENIA 18, Avellaneda, Buenos Aires",Avellaneda,-34.69051975266543,-58.334890478046646
"CNL ESCALADA (ENTRE TAFI Y DR ESTANISLAO S ZEBALLOS), Avellaneda, Buenos Aires",Avellaneda,-34.67582046274935,-58.346350892895245
"TTE CNL CAJARAVILLE 4851, Avellaneda, Buenos Aires",Avellaneda,-34.71040525946208,-58.34946568071261
"JOSE ALVAREZ CONDARCO 700, Avellaneda, Buenos Aires",Avellaneda,-34.7062542900862,-58.3283105485729
"DR ESTANISLAO S ZEBALLOS 5800, Avellaneda, Buenos Aires",Avellaneda,-34.697865247678,-58.3205894499626
"4162 MTRO ANGEL D ELIA 1600, San Miguel, Buenos Aires",San Miguel,-34.545442916372764,-58.70426846351217
"4117 CONESA 2300, San Miguel, Buenos Aires",San Miguel,-34.5550229649775,-58.7121482836105
"4157 GUEMES 268, San Miguel, Buenos Aires",San Miguel,-34.5304921936673,-58.710450364574044
"FRENCH 800, Avellaneda, Buenos Aires",Avellaneda,-34.6552321312269,-58.357204664359
"ALTOLAGUIRRE 170, Avellaneda, Buenos Aires",Avellaneda,-34.68988878335937,-58.33196086966884
"LA ESCONDIDA, Monte, Buenos Aires",San Miguel del Monte,-35.4160581068411,-58.800140761793195
"4185 LAS DELICIAS 3800, San Miguel, Buenos Aires",San Miguel,-34.55039430843961,-58.74896122833615
"ALMTE SOLIER 5900, Avellaneda, Buenos Aires",Avellaneda,-34.7044321561336,-58.3262299832358
"RICARDO GUTIERREZ 1100, Avellaneda, Buenos Aires",Avellaneda,-34.6583794170566,-58.3548065214742
"MADRID 1200, Avellaneda, Buenos Aires",Avellaneda,-34.6470871578108,-58.3476578689243
"CASTELLI 400, Avellaneda, Buenos Aires",Avellaneda,-34.6626658144277,-58.3555077557486
"SUPISICHE 100, Avellaneda, Buenos Aires",Avellaneda,-34.6799627336462,-58.3467431280694
"CNL SUAREZ 644, Avellaneda, Buenos Aires",Avellaneda,-34.66182147982873,-58.34952686651124
"CIUDADELA 400, Avellaneda, Buenos Aires",Avellaneda,-34.6815247527477,-58.3371700754818
"ESTEBAN ECHEVERRIA 1900, Avellaneda, Buenos Aires",Avellaneda,-34.7201047677927,-58.3334022382699
"LUJAN, Avellaneda, Buenos Aires",Avellaneda,-34.70208667982595,-58.359299999776
"CNL CASACUBERTA 5900, Avellaneda, Buenos Aires",Avellaneda,-34.7139836895495,-58.3352823607298
"GRL ESCALADA 400, Avellaneda, Buenos Aires",Avellaneda,-34.6741865380399,-58.3427299767408
"GRL ESCALADA 461, Avellaneda, Buenos Aires",Avellaneda,-34.67419792611207,-58.34157540635019
"COMOD RIVADAVIA 4400, Avellaneda, Buenos Aires",Avellaneda,-34.6935220925061,-58.337754672146
"MARIANO MORENO 6088, Avellaneda, Buenos Aires",Avellaneda,-34.70127050993106,-58.31851261370361
"4152 GRAL URQUIZA 1800, San Miguel, Buenos Aires",San Miguel,-34.54301439963754,-58.7013319045221
"ADOLFO ALSINA 281, Avellaneda, Buenos Aires",Avellaneda,-34.664507806812665,-58.366756076459325
"EMILIO ZOLA 5915, Avellaneda, Buenos Aires",Avellaneda,-34.6978140773774,-58.31641561054811
"CNL ESCALADA 100, Avellaneda, Buenos Aires",Avellaneda,-34.6760323668628,-58.3466903389781
"4162 MTRO ANGEL D ELIA 2340, San Miguel, Buenos Aires",San Miguel,-34.53431394060618,-58.719793870448875
"3178 ENTRE RIOS 660, San Miguel, Buenos Aires",San Miguel,-34.56336111100054,-58.69141680948447
"4121 LAS HERAS 300, San Miguel, Buenos Aires",San Miguel,-34.5391377774299,-58.6965661064602
"4145 CJAL E TRIBULATO 822, San Miguel, Buenos Aires",San Miguel,-34.538625498372596,-58.7107763646506
"CARLOS SEMINARIO 1326, Avellaneda, Buenos Aires",Avellaneda,-34.67234468824902,-58.365054784403405
"ALMTE CORDERO 5700, Avellaneda, Buenos Aires",Avellaneda,-34.7036445349413,-58.3292579609539
"SALTA 600, Avellaneda, Buenos Aires",Avellaneda,-34.6818742188401,-58.3515972768891
"GRL JOSE MARIA ACHA 100, Avellaneda, Buenos Aires",Avellaneda,-34.6818409772859,-58.3443490937123
"4194 LIBERTAD 2100, San Miguel, Buenos Aires",San Miguel,-34.54580735490832,-58.72783084801992
"SAN ISIDRO (ENTRE GRL PIRAN Y BAHIA BLANCA), Avellaneda, Buenos Aires",Avellaneda,-34.695217433335955,-58.31334537985135
"FRENCH 90, Avellaneda, Buenos Aires",Avellaneda,-34.660341110089746,-58.36550222795916
"WASHINGTON 1065, Avellaneda, Buenos Aires",Avellaneda,-34.68279091076442,-58.32507286409786
"4138 DORREGO 1283, San Miguel, Buenos Aires",San Miguel,-34.53717186585217,-58.69914475298921
"DR ESTANISLAO S ZEBALLOS 4008, Avellaneda, Buenos Aires",Avellaneda,-34.68611074683886,-58.33569613495589
"CENTENARIO URUGUAYO 67, Avellaneda, Buenos Aires",Avellaneda,-34.6949571717667,-58.33120751210668
"4156 SERRANO 1367, San Miguel, Buenos Aires",San Miguel,-34.54072101085343,-58.70633436141319
"DIAG 406 SANTA CLARA (ESQUINA 4204 ALBERTO WILLIAMS), San Miguel, Buenos Aires",San Miguel,-34.5591588269327,-58.7171508014592
"JOSE MARTIN DE LA SERNA 6300, Avellaneda, Buenos Aires",Avellaneda,-34.7175600996709,-58.3331804266942
"CENTENARIO URUGUAYO 644, Avellaneda, Buenos Aires",Avellaneda,-34.698235099202776,-58.3349795097563
"CNL CASACUBERTA 2000, Avellaneda, Buenos Aires",Avellaneda,-34.6914704366308,-58.3632967859398
"4170 LEANDRO N ALEM 3340, San Miguel, Buenos Aires",San Miguel,-34.530267889183534,-58.73097285213759
"BRAGADO 6190, Avellaneda, Buenos Aires",Avellaneda,-34.70037498839932,-58.31536184676687
"CNL ADROGUE 600, Avellaneda, Buenos Aires",Avellaneda,-34.6901188811702,-58.3222408591038
"4206 GRAL BALCARCE 2100, San Miguel, Buenos Aires",San Miguel,-34.5507816173223,-58.7306112799906
"VICTOR HUGO 2000, Avellaneda, Buenos Aires",Avellaneda,-34.7219590181398,-58.3325681619803
"MANUEL BELGRANO 6700, Avellaneda, Buenos Aires",Avellaneda,-34.7084676174221,-58.3169044646041
"GRL LUIS MARIA CAMPOS 2400, Avellaneda, Buenos Aires",Avellaneda,-34.6745607715386,-58.3544981848349
"3150 MISIONES 500, San Miguel, Buenos Aires",San Miguel,-34.5540630629763,-58.6855151043467
"4208 MONTEAGUDO 2000, San Miguel, Buenos Aires",San Miguel,-34.5518383773892,-58.7304206357419
"IGUAZU 352, Avellaneda, Buenos Aires",Avellaneda,-34.669363380875566,-58.34843129284721
"PERU 2100, Avellaneda, Buenos Aires",Avellaneda,-34.67717418588175,-58.39074278891703
"CAMINO GRL BELGRANO (ESQUINA CNL LYNCH), Avellaneda, Buenos Aires",Avellaneda,-34.7269954289133,-58.3334607736663
"ITAPIRU 1900, Avellaneda, Buenos Aires",Avellaneda,-34.66553848758291,-58.40126027639895
"RN 205 - AV HIPOLITO YRIGOYEN 1569, Avellaneda, Buenos Aires",Avellaneda,-34.67491610885845,-58.38223671519856
"RAQUEL ESPANOL 74, Avellaneda, Buenos Aires",Avellaneda,-34.70507778058642,-58.314477824369746
"JUJUY 1900, Avellaneda, Buenos Aires",Avellaneda,-34.6779427686484,-58.3836159203387
"COTAGAITA 1000, Avellaneda, Buenos Aires",Avellaneda,-34.7072349058246,-58.3334421872767
"4280 LA PINTA 1224, San Miguel, Buenos Aires",San Miguel,-34.57863841943843,-58.7455453089083
"4131 ITALIA 500, San Miguel, Buenos Aires",San Miguel,-34.5383964137169,-58.7018550641173
"ALTOLAGUIRRE 651, Avellaneda, Buenos Aires",Avellaneda,-34.686092357972804,-58.32696340314574
"CAVIGLIA 100, Avellaneda, Buenos Aires",Avellaneda,-34.7065285137356,-58.3120435917678
"GELLI Y OBES 100, Avellaneda, Buenos Aires",Avellaneda,-34.6829788650056,-58.342526164206404
"J B PALAA 748, Avellaneda, Buenos Aires",Avellaneda,-34.66583312929392,-58.3678058042589
"BARADERO 3800, Avellaneda, Buenos Aires",Avellaneda,-34.68166883824425,-58.3380030677231
"AV ARTURO ILLIA 3800, San Miguel, Buenos Aires",San Miguel,-34.53147642826245,-58.70320619856284
"GRL PIRAN 900, Avellaneda, Buenos Aires",Avellaneda,-34.6929065238024,-58.3119927726934
"MARIO BRAVO 500, Avellaneda, Buenos Aires",Avellaneda,-34.6754860682277,-58.388671288486
"4181 TOMAS A EDISON 2500, San Miguel, Buenos Aires",San Miguel,-34.5405181784177,-58.7365646283589
"LAFAYETTE 300, Avellaneda, Buenos Aires",Avellaneda,-34.671703031087,-58.3557874662391
"GRL LAVALLE 96, Avellaneda, Buenos Aires",Avellaneda,-34.66256134253278,-58.36594117311515
