direccion,localidad,latitud,longitud
"BV DE LOS ITALIANOS 900, Avellaneda, Buenos Aires",Avellaneda,-34.70431764672,-58.3349740342556
"310 BRAILLE LUIS 1200, San Miguel, Buenos Aires",San Miguel,-34.573688918236,-58.687908696815
"LAS FLORES 700, Avellaneda, Buenos Aires",Avellaneda,-34.6980951455143,-58.3104905647716
"LAS FLORES 500, Avellaneda, Buenos Aires",Avellaneda,-34.6995243490851,-58.3121639147664
"LAS FLORES 400, Avellaneda, Buenos Aires",Avellaneda,-34.7004130089495,-58.3132044247536
"GRL ARREDONDO 1400, Avellaneda, Buenos Aires",Avellaneda,-34.67921505222,-58.3654800509394
"MANUEL BELGRANO 200, Avellaneda, Buenos Aires",Avellaneda,-34.6595521151612,-58.3703263983387
"FLORENTINO AMEGHINO 900, Avellaneda, Buenos Aires",Avellaneda,-34.66235943733095,-58.36202608357485
"RAMON FRANCO 6329, Avellaneda, Buenos Aires",Avellaneda,-34.69891159373809,-58.30886887572768
"SALTA 700, Avellaneda, Buenos Aires",Avellaneda,-34.6822642566979,-58.3529710105054
"AV BARTOLOME MITRE 3098, Avellaneda, Buenos Aires",Avellaneda,-34.68062500204678,-58.3451372580948
"3087 SAN JUAN 3400, San Miguel, Buenos Aires",San Miguel,-34.572217711263846,-58.7141310722037
"4149 ESPANA (ENTRE 4142 VICENTE LOPEZ Y CESAR MALNATTI), San Miguel, Buenos Aires",San Miguel,-34.5339195767668,-58.708296325477804
"CALLEJON ALDAZ 300, Avellaneda, Buenos Aires",Avellaneda,-34.6541178872505,-58.3639995584595
"3041 MAYOR IRUSTA 3700, San Miguel, Buenos Aires",San Miguel,-34.5833673577583,-58.7024584256337
"CASELLA PINERO 600, Avellaneda, Buenos Aires",Avellaneda,-34.6785215407723,-58.3556298669579
"INDEPENDENCIA 39, Avellaneda, Buenos Aires",Avellaneda,-34.67751397417672,-58.34839055445508
"PROLANCION DE MANSILLA, Avellaneda, Buenos Aires",Avellaneda,-34.67505832655367,-58.369281170154984
"BERUTTI 230, Avellaneda, Buenos Aires",Avellaneda,-34.662537065513355,-58.36800095019742
