direccion,localidad,latitud,longitud,latitud_verificada,longitud_verificada,Distancia,Estan cerca
"YRIGOYEN (ENTRE RO BLANCO Y RAUL ROSSI), Ramallo, Buenos Aires",Villa Ramallo,-33.490795142850956,-60.050784014212894,-33.490788604779205,-60.050820251786405,3.44,Si
"SAN LORENZO 1000, Ramallo, Buenos Aires",Ramallo,-33.480885160802,-59.9959540766371,-33.480431187500066,-59.99625653173621,57.67,Si
"ESTEBAN ECHEVERRIA (ENTRE OLEGARIO V ANDRADE Y JOSE INGENIEROS), Mar Chiquita, Buenos Aires",Mar Chiquita,-37.74182960346555,-57.428151000651695,-37.74174866342025,-57.42827310437258,14.02,Si
"COMANDANTE CORDOBA 635, General Pinto, Buenos Aires",General Pinto,-34.76660799200438,-61.89457043686376,-34.76631325077219,-61.89416567552766,49.42,Si
"ARTURO CAPDEVILLA (ENTRE GABRIELA MISTRAL Y CONRADO N ROXLO), Mar Chiquita, Buenos Aires",Mar Chiquita,-37.74122359228985,-57.43634226768505,-37.74114476895858,-57.43639096065569,9.74,Si
"USPALLATA (ENTRE SGTO BAIGORRIA Y PLUMERILLO), Coronel Suárez, Buenos Aires",Coronel Suárez,-37.4634939683587,-61.93895482351985,-37.46348105690972,-61.9390794222782,11.12,Si
"BELGRANO 276, Dolores, Buenos Aires",Dolores,-36.31608817020403,-57.67610409742886,-36.316181351149915,-57.67611644067065,10.40,Si
"BELGRANO 1550, Dolores, Buenos Aires",Dolores,-36.310845754565904,-57.662430064332,-36.31070926336253,-57.66242640428171,15.15,Si
"58 SAN MARTIN (ENTRE C 65 - 25 DE MAYO Y 67 9 DE JULIO), Olavarría, Buenos Aires",Olavarrí­a,-36.896763474659494,-60.318678410075805,-36.896844397457244,-60.31872708377202,9.97,Si
"AV COSTANERA JM DE ROSAS (ESQUINA CALLE 17 FRAY F MARTINEZ), Monte, Buenos Aires",San Miguel del Monte,-35.4458822977302,-58.8066309542302,-35.44576241299979,-58.80671772762894,15.46,Si
"RUTA PCIAL 58-MARIANO CASTEX AV 16, Ezeiza, Buenos Aires",Ezeiza,-34.85656026814749,-58.50286882028849,-34.89778198000933,-58.50880045814848,4605.11,No
"CALLE 12 HIPOLITO YRIGOYEN 64, Monte, Buenos Aires",San Miguel del Monte,-35.44100477965121,-58.79896956797337,-35.44094105295223,-58.79941259567344,40.84,Si
"CASEROS 1200, Ezeiza, Buenos Aires",Ezeiza,-34.841417837947034,-58.50687636319143,-34.84384316204858,-58.51029736203039,412.67,No
"228 TGRL JUAN DOMINGO PERON 800, Florencio Varela, Buenos Aires",Florencio Varela,-34.8062982936223,-58.2499893428245,-34.8062943684584,-58.25048717737496,45.56,Si
