Direccion;Latitud;Longitud;Direcciondelta;latituddelta;longituddelta
Bozan 2948;"""-35.640230530040405""";"""-59.772655416379465""";Bozan 2932;"""-35.64003870659324""";"""-59.77254812801767"""
Miguel Fox 369;"""-35.02487323775871""";"""-60.27289525183173""";Miguel Fox 375;"""-35.02481903971929""";""" -60.27277996946513"""
Padre Ghio 186;"""-34.58011452295917""";"""-60.95069415625488""";Padre Ghio 174;"""-34.58030715954285""";"""-60.950852729917465"""
Granaderos 1546;"""-37.46442211860863""";"""-61.936861513880196""";Granaderos 1556;"""-37.464468917438765""";"""-61.93714080080464"""
Pringles 60;"""-34.897587832728114""";""" -60.01555740222082""";Pringles 240;"""-34.895419193732174""";"""-60.01293771467818"""
Mariano Moreno 256;"""-35.970166467491886""";"""-62.7381772798577""";Mariano Moreno 750;"""-35.97322028994369""";"""-62.74431666347095"""
Belgrano 979;"""-34.993525863819464""";"""-61.03199387569801""";Belgrano 620;"""-34.9954635368733""";"""-61.03489897810334"""
Av. 13 740;"""-34.918351696395646""";"""-57.958368194341084""";Av. 13 716;"""-34.91798918721827""";"""-57.9588346727334"""
